port,service,version,cve_id,cvss_score,severity,description
135,msrpc,,CVE-2002-1873,5.0,MEDIUM,"Microsoft Exchange 2000, when used with Microsoft Remote Procedure Call (MSRPC), allows remote attackers to cause a denial of service (crash or memory consumption) via malformed MSRPC calls."
135,msrpc,,CVE-2013-4688,7.8,HIGH,"flowd in Juniper Junos 10.4 before 10.4R11 on SRX devices, when the MSRPC Application Layer Gateway (ALG) is enabled, allows remote attackers to cause a denial of service (daemon crash) via crafted MSRPC requests, aka PR 772834."
445,microsoft-ds,,CVE-2002-0597,5.0,MEDIUM,LANMAN service on Microsoft Windows 2000 allows remote attackers to cause a denial of service (CPU/memory exhaustion) via a stream of malformed data to microsoft-ds port 445.
